dtype,attn_implementation,batch_size,prompt_len,decode_len,prefill_ms,decode_ms,ttft_est_ms,tpot_ms,decode_tokens_per_s,max_memory_mib
bf16,flash_attention_2,1,128,32,23.898925671043497,943.8355793245137,53.39378752493455,29.494861853891052,33.904210331742135,1302.986328125
bf16,flash_attention_2,1,128,128,26.733521022833884,3666.630904035022,55.3790749606075,28.64555393777361,34.909431396309806,1313.486328125
bf16,flash_attention_2,1,1024,32,30.99913231562823,925.5886036747446,59.923776180464,28.92464386483577,34.57259507404752,2378.66796875
bf16,flash_attention_2,1,1024,128,29.923799680545926,3694.471776369028,58.786860433428956,28.86306075288303,34.64636022359872,2389.095703125
bf16,flash_attention_2,4,128,32,22.384886707489688,948.37914131737,52.0217348736575,29.636848166167812,134.96711855366027,1781.3046875
bf16,flash_attention_2,4,128,128,26.194778309824567,3705.5989766182997,55.144770314655034,28.949992004830467,138.1692954986854,1822.1875
bf16,flash_attention_2,4,1024,32,81.31929599524786,928.1541756354272,110.32411398385496,29.0048179886071,137.90812276674768,6077.8125
bf16,flash_attention_2,4,1024,128,84.95224399181704,3788.7639430118725,114.5519622965973,29.599718304780254,135.13642119202242,6124.2734375
