scenario,request_count,image_count,image_size,input_tokens,visual_marker_tokens,decode_len,total_ms,per_request_ms,requests_per_s,speedup_vs_serial_cold,preprocess_ms_total,transfer_ms_total,generate_ms_total,max_memory_mib,estimated_kv_cache_mib,dtype,attn_implementation,min_pixels,max_pixels
serial_cold,2,1,224,105,66,8,981.8248370429501,490.91241852147505,2.0370232291368584,1.0,36.52302804403007,0.910150003619492,942.0181859750301,7184.90966796875,7.9453125,bf16,sdpa,3136,802816
visual_input_cache_serial,2,1,224,105,66,8,352.05371398478746,176.02685699239373,5.680951288263988,2.788849536424364,0.0,0.0,351.9548859912902,7186.0615234375,7.9453125,bf16,sdpa,3136,802816
visual_input_cache_microbatch,2,1,224,105,66,8,196.45037595182657,98.22518797591329,10.180688076109554,4.997826205655684,0.0,0.0,196.45037595182657,7200.71826171875,7.9453125,bf16,sdpa,3136,802816
