scenario,request_count,image_count,image_size,input_tokens,visual_marker_tokens,decode_len,total_ms,per_request_ms,requests_per_s,speedup_vs_serial_cold,preprocess_ms_total,transfer_ms_total,generate_ms_total,max_memory_mib,estimated_kv_cache_mib,dtype,attn_implementation,min_pixels,max_pixels
serial_cold,8,3,224,237,198,32,5098.378297019129,637.2972871273911,1.5768715017117991,1.0,88.22663128376007,5.06432494148612,4988.476013958764,7212.25,75.65625,bf16,sdpa,3136,802816
visual_input_cache_serial,8,3,224,237,198,32,4805.569171672687,600.6961464590859,1.6649635020166,1.0609312060416192,0.0,0.0,4805.090633725437,7236.86865234375,75.65625,bf16,sdpa,3136,802816
visual_input_cache_microbatch,8,3,224,237,198,32,907.1355983226871,113.39194979033589,8.819104425717768,5.620304512849168,0.0,0.0,907.1355983226871,7515.0791015625,75.65625,bf16,sdpa,3136,802816
