scenario,request_count,makespan_ms,throughput_req_s,speedup_vs_serial,mean_latency_ms,p95_latency_ms,peak_blocks,avg_allocated_blocks,avg_block_utilization,peak_kv_mib,block_size,kv_budget_mib,max_active
serial_no_batch,128,91321.57431654635,1.4016403129047674,1.0,40901.59919380374,78171.54419813151,55,28.296875,0.9829620258019274,30.9375,16,256.0,16
continuous_static_kv,128,13150.848758848215,9.733212079857466,6.944158205386018,2335.7399668582634,3834.130398516074,450,373.80636604774537,0.9899233990689289,253.125,16,256.0,16
continuous_paged_kv,128,17250.781308488054,7.4199537812828815,5.293764536427842,4345.1202569866,7849.629718935965,455,370.731884057971,0.9820440387142604,255.9375,16,256.0,16
continuous_paged_kv_guarded,128,13119.623093988317,9.756377838220997,6.960685811042223,2190.4474729861645,3747.2465843849614,455,356.56763925729445,0.9820942763051518,255.9375,16,256.0,16
