dtype,attn_implementation,min_pixels,max_pixels,image_size,image_count,input_tokens,visual_marker_tokens,decode_len,preprocess_ms,transfer_ms,prefill_ms,decode_ms,ttft_est_ms,tpot_ms,decode_tokens_per_s,max_memory_mib
bf16,sdpa,200704,1003520,224,1,297,258,16,12.506458636683723,1.1570136606072385,91.6330013036107,282.26058068685234,122.93775989382993,17.64128629292827,56.68520896919305,7323.087890625
bf16,sdpa,200704,1003520,224,1,297,258,64,9.213789987067381,1.0384756606072187,70.05740764240424,709.9048486367489,91.40193655002805,11.0922632599492,90.15292700550093,7323.087890625
bf16,sdpa,200704,1003520,224,3,813,774,16,17.03918632119894,21.98766036114345,181.440007329608,267.94346965228516,237.2133208652182,16.746466853267822,59.71408827676776,7606.634765625
bf16,sdpa,200704,1003520,224,3,813,774,64,78.12658565429349,6.355697327914338,200.59770601801574,1218.3428993448615,304.11659680248704,19.03660780226346,52.5303673000554,7607.634765625
bf16,sdpa,200704,1003520,448,1,297,258,16,7.855388685129583,1.0344323236495256,67.27033368467043,295.768238332433,94.6456695892266,18.48551489577706,54.09641038608266,7323.638671875
bf16,sdpa,200704,1003520,448,1,297,258,64,7.375667997015019,0.9243880243351063,67.81134800985456,718.4169426715622,87.33666876044785,11.22526472924316,89.0847587224273,7323.638671875
bf16,sdpa,200704,1003520,448,3,813,774,16,70.80329896416515,4.210383320848147,164.59281199301282,327.3104927114521,260.06340007249185,20.456905794465758,48.883248036002186,7607.634765625
bf16,sdpa,200704,1003520,448,3,813,774,64,20.48781937143455,44.6733453621467,162.9655056555445,1250.8553862959768,247.67128580000036,19.544615410874638,51.16498733679862,7607.634765625
