dtype,attn_implementation,batch_size,prompt_len,decode_len,prefill_ms,decode_ms,ttft_est_ms,tpot_ms,decode_tokens_per_s,max_memory_mib
bf16,eager,1,128,32,20.877852337434888,564.6162663664048,38.52211066138504,17.64425832395015,56.675660809307544,1302.986328125
bf16,eager,1,128,128,20.551714347675443,2315.0373769846433,38.637943855367965,18.086229507692526,55.29068397449424,1313.486328125
bf16,eager,1,1024,32,42.1121206600219,585.0616749764109,60.39529800303474,18.28317734301284,54.6950883448146,2378.06640625
bf16,eager,1,1024,128,44.63119936796526,2302.8329343457394,62.62208166754135,17.99088229957609,55.583710868007984,2389.21875
bf16,eager,4,128,32,24.219041340984404,577.1973453229293,42.256458382325945,18.03741704134154,221.76124169175932,1783.71875
bf16,eager,4,128,128,22.220694343559444,2340.5341816445193,40.506117637657255,18.285423294097807,218.75348115627847,1823.5546875
bf16,eager,4,1024,32,176.77907463318357,608.6529589956626,195.79947960179803,19.020404968614457,210.30046450642845,6079.3125
bf16,eager,4,1024,128,178.58659999910742,2366.5401169952625,197.07519466313292,18.488594664025488,216.34959674804657,6130.3984375
