policy,prefix_cache,request_count,makespan_ms,throughput_req_s,mean_latency_ms,p95_latency_ms,avg_batch_size,max_batch_size,padding_waste_tokens,padding_waste_ratio,prefix_hit_rate
fcfs,0,256,56104.25760956425,4.562933561683186,19010.663265900752,35373.72707959078,5.953488372093023,13,55740,0.33304653330465334,0.0
fcfs,1,256,51887.31488812739,4.933768504921744,17318.871048003308,31566.086297052774,5.953488372093023,13,55740,0.33304653330465334,0.875
shape_bucket,0,256,42592.96996347633,6.010381530555892,12682.651484229295,23569.106651570783,8,16,6768,0.05716602473140077,0.0
shape_bucket,1,256,39695.74090730212,6.449054587438328,11176.200649647144,20690.812207569015,8,16,4476,0.03855297157622739,0.875
token_budget_bucket,0,256,46421.77657537709,5.51465322711899,10750.332009455726,28050.595045728034,7.529411764705882,14,11676,0.09469586374695864,0.0
token_budget_bucket,1,256,43695.286810274876,5.858755455972931,10066.74161501412,26042.689674179397,7.529411764705882,14,15168,0.11962899867499527,0.875
