scenario,request_count,image_count,image_size,input_tokens,visual_marker_tokens,decode_len,total_ms,per_request_ms,requests_per_s,speedup_vs_serial_cold,preprocess_ms_total,transfer_ms_total,generate_ms_total,max_memory_mib,estimated_kv_cache_mib,dtype,attn_implementation,min_pixels,max_pixels
serial_cold,8,3,448,813,774,32,6220.340439972158,777.5425549965197,1.2883997576616442,1.0,189.52561321202666,41.02561766436944,5968.6995591036975,7342.05224609375,237.65625,bf16,sdpa,3136,802816
visual_input_cache_serial,8,3,448,813,774,32,5694.79650798409,711.8495634980112,1.4048178567339018,1.092284936125682,0.0,0.0,5694.4423083138345,7440.31396484375,237.65625,bf16,sdpa,3136,802816
visual_input_cache_microbatch,8,3,448,813,774,32,1936.7400056992967,242.0925007124121,4.130705414026866,3.2117581201748275,0.0,0.0,1936.7400056992967,8534.2890625,237.65625,bf16,sdpa,3136,802816
