dtype,attn_implementation,batch_size,prompt_len,decode_len,cached_decode_ms,nocache_decode_ms,cached_tpot_ms,nocache_tpot_ms,cached_tokens_per_s,nocache_tokens_per_s,speedup,max_memory_mib
bf16,sdpa,1,128,16,279.0055489943673,263.7378063518554,17.437846812147956,16.483612896990962,57.34652969329659,60.66631182430565,0.9452779964500988,1332.7666015625
bf16,sdpa,1,128,32,563.0361446722721,508.2102100132033,17.594879521008504,15.881569062912604,56.83471710084673,62.96607067215088,0.9026244848081973,1343.8212890625
bf16,sdpa,1,128,64,1103.8290456635877,989.3842769864326,17.24732883849356,15.45912932791301,57.97999269128236,64.6866960479074,0.8963202054459851,1365.9306640625
bf16,sdpa,1,512,16,279.3228453568493,254.3490530224517,17.457677834803082,15.896815813903231,57.28138698987967,62.90567945848676,0.91059165854303,1914.5029296875
bf16,sdpa,1,512,32,558.0280399881303,529.3521153507754,17.438376249629073,16.542253604711732,57.344788625103256,60.45125554810561,0.9486120363450466,1886.2763671875
bf16,sdpa,1,512,64,1110.473993040311,1056.3295396665733,17.351156141254858,16.505149057290208,57.633047150233224,60.58715353184327,0.9512420338404339,1904.2314453125
bf16,sdpa,2,128,16,277.68734737765044,252.82970866343626,17.355459211103152,15.801856791464767,115.23751550869368,126.56740447618046,0.9104833585362887,1520.01611328125
bf16,sdpa,2,128,32,573.6276857011641,523.6593652904654,17.925865178161377,16.364355165327044,111.57062602682903,122.21685363060438,0.9128906751604559,1542.12548828125
bf16,sdpa,2,128,64,1170.5488906397175,1010.7642237174636,18.289826416245585,15.793190995585368,109.35040904617546,126.63685258786872,0.8634959477558175,1586.34521484375
bf16,sdpa,2,512,16,280.47105196552974,359.9517706704016,17.52944074784561,22.4969856669001,114.09377108883537,88.90079896092958,1.283382966434055,2580.455078125
bf16,sdpa,2,512,32,575.247521706236,712.8711750265211,17.976485053319873,22.277224219578784,111.25645497814617,89.77779189573627,1.2392424967118172,2602.35205078125
bf16,sdpa,2,512,64,1124.2473506523918,1440.9531709582855,17.56636485394362,22.51489329622321,113.85394853341003,88.83009009576308,1.281704751291708,2646.8544921875
bf16,sdpa,4,128,16,292.8573443399121,271.2822693477695,18.303584021244507,16.955141834235594,218.53643501498402,235.91663455880115,0.9263290629068159,1909.8671875
bf16,sdpa,4,128,32,571.2156574008986,527.3574083888283,17.850489293778082,16.479919012150884,224.08349340845402,242.71963940179208,0.9232194558327922,1950.7880859375
bf16,sdpa,4,128,64,1112.5108792912215,1093.3085226376231,17.382982488925336,17.08294566621286,230.11010927200738,234.15165499889838,0.9827396234850017,2037.904296875
bf16,sdpa,4,512,16,277.49141297924024,645.2539653594916,17.343213311202515,40.32837283496823,230.63776753620834,99.18575233294932,2.3253114697562354,4016.1650390625
bf16,sdpa,4,512,32,549.8758166795596,1302.361044023807,17.18361927123624,40.698782625743966,232.7798315862144,98.28303801573182,2.3684639413461572,4060.6787109375
bf16,sdpa,4,512,64,1116.2407700515662,2674.0478923311457,17.44126203205572,41.78199831767415,229.34120206716133,95.73500935947251,2.3955834297358756,4149.23046875
