dtype,attn_implementation,batch_size,prompt_len,decode_len,prefill_ms,decode_ms,ttft_est_ms,tpot_ms,decode_tokens_per_s,max_memory_mib
bf16,sdpa,1,128,32,17.926819312075775,614.4623046275228,37.12876633168587,19.20194701961009,52.07805224015798,1302.986328125
bf16,sdpa,1,128,128,19.853547991563875,2454.749106002661,39.031275382209664,19.17772739064579,52.14382182154515,1313.486328125
bf16,sdpa,1,512,32,25.959333366093535,613.2973283141231,45.12487487590988,19.165541509816347,52.176976032104946,1809.9609375
bf16,sdpa,1,512,128,21.71751100104302,2407.440362342944,40.525638831847274,18.80812783080425,53.16850294701763,1780.783203125
bf16,sdpa,1,1024,32,24.36613435080896,602.6115566492081,43.197745496096715,18.831611145287752,53.10220098986224,2377.95703125
bf16,sdpa,1,1024,128,25.623065303079784,2366.8591482952856,44.1141523991367,18.49108709605692,54.080108692649134,2389.095703125
bf16,sdpa,2,128,32,19.509093021042645,591.7850220187878,38.00237495912977,18.49328193808712,108.14738058370148,1460.45703125
bf16,sdpa,2,128,128,19.24432864567886,2408.3707023334377,38.05972475765884,18.815396111979982,106.29592850966218,1481.45703125
bf16,sdpa,2,512,32,21.92286398106565,599.6546009555459,40.662070260926455,18.73920627986081,106.72810630989305,2387.6484375
bf16,sdpa,2,512,128,21.47446731881549,2406.8211666696393,40.277757683422045,18.803290364606557,106.36436289707045,2405.06640625
bf16,sdpa,2,1024,32,42.710776013943054,599.6914529629672,61.45113391903578,18.740357905092726,106.72154769554835,3611.67578125
bf16,sdpa,2,1024,128,39.9448963192602,2382.185397980114,58.55571974097984,18.61082342171964,107.46434774432994,3634.76171875
bf16,sdpa,4,128,32,20.235622689748805,568.340077996254,37.996250127131745,17.760627437382936,225.21726859608108,1793.3046875
bf16,sdpa,4,128,128,19.061735675980646,2298.500647341522,37.018771983336286,17.95703630735564,222.75390724478862,1840.8984375
bf16,sdpa,4,512,32,38.29873566670964,582.6777183295538,56.50741436450819,18.208678697798558,219.6754671981555,3621.578125
bf16,sdpa,4,512,128,38.55018597096205,2334.6774200132736,56.789853314815744,18.2396673438537,219.3022451885833,3671.578125
bf16,sdpa,4,1024,32,81.33689166667561,596.5863992848123,99.98021664432599,18.643324977650384,214.5540028291734,6077.8359375
bf16,sdpa,4,1024,128,81.39400533400476,2317.283955635503,99.49778623740713,18.103780903402367,220.94832131161357,6124.984375
