scenario,request_count,makespan_ms,throughput_req_s,speedup_vs_serial,mean_latency_ms,p95_latency_ms,peak_blocks,avg_allocated_blocks,avg_block_utilization,peak_kv_mib,block_size,kv_budget_mib,max_active
serial_no_batch,128,91321.57431654635,1.4016403129047674,1.0,40901.59919380374,78171.54419813151,55,28.296875,0.9829620258019274,30.9375,16,320.0,16
continuous_static_kv,128,12436.031013100463,10.292672948882261,7.343305450134825,1959.2979525904693,3368.6308402886943,562,409.63188405797104,0.98960844971741,316.125,16,320.0,16
continuous_paged_kv,128,12181.65382214128,10.50760445739709,7.496648291758297,1906.4194315433365,3221.524106499467,568,391.6046511627907,0.9820428461073066,319.5,16,320.0,16
continuous_paged_kv_guarded,128,12181.65382214128,10.50760445739709,7.496648291758297,1906.4194315433365,3221.524106499467,568,391.6046511627907,0.9820428461073066,319.5,16,320.0,16
