scenario,request_count,makespan_ms,throughput_req_s,speedup_vs_serial,mean_latency_ms,p95_latency_ms,peak_blocks,avg_allocated_blocks,avg_block_utilization,peak_kv_mib,block_size,kv_budget_mib,max_active
serial_no_batch,128,91321.57431654635,1.4016403129047674,1.0,40901.59919380374,78171.54419813151,55,28.296875,0.9829620258019274,30.9375,16,384.0,16
continuous_static_kv,128,12259.402357458677,10.440965739420747,7.4491049117892665,1904.6522590333848,3220.3081153970916,607,410.625,0.9896625401499797,341.4375,16,384.0,16
continuous_paged_kv,128,12259.402357458677,10.440965739420747,7.4491049117892665,1904.6522590333848,3220.3081153970916,588,391.6046511627907,0.9820219684474913,330.75,16,384.0,16
continuous_paged_kv_guarded,128,12259.402357458677,10.440965739420747,7.4491049117892665,1904.6522590333848,3220.3081153970916,588,391.6046511627907,0.9820219684474913,330.75,16,384.0,16
