image_size,concurrency,max_new_tokens,avg_latency_s,req_per_s,output_tokens_per_s,avg_output_tokens,max_mem_mib
224,1,64,0.7443041689926758,1.343536744330449,61.80269023920066,46.0,0.0
224,2,64,1.1012296205852181,1.8161516568516884,100.7964169552687,111.0,0.0
224,4,64,1.0979211385827512,3.6432489178260927,188.5381314975003,207.0,0.0
224,8,64,1.0050602868199348,7.95972152607127,401.96593706659917,404.0,0.0
448,1,64,0.9532103648176417,1.0490863684547846,60.847009370377506,58.0,0.0
448,2,64,0.9809092038311065,2.0389246957706813,100.92677244064872,99.0,0.0
448,4,64,1.063720980565995,3.760384605624344,214.34192252058762,228.0,0.0
448,8,64,1.0808016304159538,7.4019133343841705,432.08669089467594,467.0,0.0
