condition,suite,task_id,task,episode_index,seed,delay_ticks,delay_ms,success,reward,steps,policy_calls,mean_inference_ms,p95_inference_ms,mean_state_prediction_mse,mean_handoff_action_l2,queue_underflows
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,1,100,False,0.0,280,28,345.5102725087532,410.0699515081942,nan,0.9688133310388636,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,1,100,False,0.0,280,28,336.29097589956865,415.53122885525227,nan,1.022305013956847,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,1,100,False,0.0,280,28,355.1545560226909,467.1425350010395,nan,0.7574302918381162,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,1,100,True,1.0,105,11,363.56330662965775,435.8556065708399,nan,0.7882442861795426,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,1,100,False,0.0,280,28,341.12068518464054,425.96215764060616,nan,1.0046413309044309,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,1,100,False,0.0,280,28,345.96859756857157,404.54536071047187,nan,1.0824812181569912,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,1,100,False,0.0,280,28,347.67163671287045,432.640484534204,nan,0.8925015054367207,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,1,100,False,0.0,280,28,338.41630031487773,407.05147841945285,nan,0.9247060881720649,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,1,100,False,0.0,280,28,356.7737264425627,429.9889335408807,nan,0.8098558358572148,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,2,200,True,1.0,187,19,350.89585185050964,415.09953457862133,nan,1.193756860991319,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,2,200,True,1.0,138,14,362.6409218247448,417.1970189549029,nan,1.0517393809098463,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,2,200,False,0.0,280,28,354.1508626325854,433.3678604103624,nan,1.112608880356506,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,2,200,False,0.0,280,28,359.6819524786302,431.9393143989145,nan,0.9369571203434909,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,2,200,True,1.0,105,11,345.7666337490082,431.51243031024933,nan,0.9552713632583618,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,2,200,False,0.0,280,28,354.62344750495896,430.44402655214066,nan,1.0451213871991192,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,2,200,False,0.0,280,28,330.40374517440796,412.83443719148636,nan,1.2168606690786503,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,2,200,False,0.0,280,28,349.1093088606639,420.33851174637675,nan,0.9935244255595737,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,2,200,False,0.0,280,28,330.6841159771596,375.93278773128986,nan,1.345623090311333,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,2,200,True,1.0,113,12,357.91352003191906,461.724672652781,nan,0.6379376947879791,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,4,400,True,1.0,175,18,349.02636468824414,415.8421843312681,nan,1.0790923886439379,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,4,400,True,1.0,136,14,330.983945567693,367.1984641812742,nan,1.0607165098190308,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,4,400,False,0.0,280,28,333.95899000710676,412.7597323618829,nan,1.2101977379233748,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,4,400,True,1.0,105,11,352.9326223175634,428.78443002700806,nan,0.7079825133085251,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,4,400,False,0.0,280,28,339.91883661864057,403.0707646161317,nan,0.9750962599560067,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,4,400,False,0.0,280,28,379.1254115557032,459.38852773979306,nan,1.294969171837524,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,4,400,True,1.0,114,12,343.96922510738176,427.4413889274001,nan,0.689485426992178,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,4,400,False,0.0,280,28,369.3673623991864,460.97661862149835,nan,1.0042043587675802,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,4,400,False,0.0,280,28,340.7366425464196,428.22286942973733,nan,1.2949353158473969,0
standard_skip,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,4,400,True,1.0,118,12,330.02973968784016,388.1302511319518,nan,0.7048319727182388,0
